TimestampUTC,PhaseName
2020-11-12 00:27:00+00:00,Menguante Cóncava
2020-11-15 05:08:00+00:00,Luna Nueva
2020-11-18 12:13:00+00:00,Creciente Cóncava
2020-11-22 04:46:00+00:00,Cuarto Creciente
2020-11-26 06:20:00+00:00,Creciente Gibosa
2020-11-30 09:30:00+00:00,Luna Llena
2020-12-04 08:28:00+00:00,Menguante Gibosa
2020-12-08 00:37:00+00:00,Cuarto Menguante
2020-12-11 09:51:00+00:00,Menguante Cóncava
2020-12-14 16:17:00+00:00,Luna Nueva
2020-12-18 03:03:00+00:00,Creciente Cóncava
2020-12-21 23:42:00+00:00,Cuarto Creciente
2020-12-26 03:03:00+00:00,Creciente Gibosa
2020-12-30 03:29:00+00:00,Luna Llena
2021-01-02 21:07:00+00:00,Menguante Gibosa
2021-01-06 09:38:00+00:00,Cuarto Menguante
2021-01-09 19:12:00+00:00,Menguante Cóncava
2021-01-13 05:01:00+00:00,Luna Nueva
2021-01-16 20:30:00+00:00,Creciente Cóncava
2021-01-20 21:02:00+00:00,Cuarto Creciente
2021-01-24 23:54:00+00:00,Creciente Gibosa
2021-01-28 19:17:00+00:00,Luna Llena
2021-02-01 07:27:00+00:00,Menguante Gibosa
2021-02-04 17:38:00+00:00,Cuarto Menguante
2021-02-08 04:55:00+00:00,Menguante Cóncava
2021-02-11 19:06:00+00:00,Luna Nueva
2021-02-15 15:40:00+00:00,Creciente Cóncava
2021-02-19 18:48:00+00:00,Cuarto Creciente
2021-02-23 18:41:00+00:00,Creciente Gibosa
2021-02-27 08:18:00+00:00,Luna Llena
2021-03-02 16:11:00+00:00,Menguante Gibosa
2021-03-06 01:31:00+00:00,Cuarto Menguante
2021-03-09 15:26:00+00:00,Menguante Cóncava
2021-03-13 10:22:00+00:00,Luna Nueva
2021-03-17 11:21:00+00:00,Creciente Cóncava
2021-03-21 14:41:00+00:00,Cuarto Creciente
2021-03-25 10:01:00+00:00,Creciente Gibosa
2021-03-28 18:49:00+00:00,Luna Llena
2021-04-01 00:15:00+00:00,Menguante Gibosa
2021-04-04 10:03:00+00:00,Cuarto Menguante
2021-04-08 03:09:00+00:00,Menguante Cóncava
2021-04-12 02:31:00+00:00,Luna Nueva
2021-04-16 05:58:00+00:00,Creciente Cóncava
